period,variable,gdp_growth,inflation,current_account,unemployment,exports_growth
0,gdp_growth,1.0,0.0,0.0,0.0,0.0
0,inflation,0.014213031907342103,0.985786968092658,0.0,0.0,0.0
0,current_account,0.0009054445262138671,0.06826119617832728,0.9308333592954587,0.0,0.0
0,unemployment,0.00026551388106839033,0.004914582177569949,0.003627189978222146,0.9911927139631396,0.0
0,exports_growth,0.0036966176606968155,0.14291959618761588,0.0008620100359994713,0.003700176177313573,0.8488215999383742
1,gdp_growth,0.2307752524944241,0.27672276037049837,0.4061769713725471,0.08627871285148803,4.6302911042479804e-05
1,inflation,0.027665705082138548,0.9584163943876467,0.0030404519275458015,0.010581078234577426,0.00029637036809144026
1,current_account,0.0010889471271267404,0.06015820168944089,0.9253884671998396,0.013359483180632629,4.900802960235608e-06
1,unemployment,0.004717477883135039,0.00414765307725286,0.0030568999229201046,0.9880373305544902,4.0638562201816825e-05
1,exports_growth,0.0023781142512818835,0.10489097150082094,0.7368700185287759,0.02113316337642326,0.13472773234269805
2,gdp_growth,0.18066275826189368,0.4028179775767962,0.3199474541000531,0.09640386324666132,0.0001679468145956703
2,inflation,0.020294080411251275,0.7002611412496628,0.04693470457167672,0.2310595350490134,0.0014505387183957634
2,current_account,0.0008500118523696405,0.06797571984414805,0.906581579682424,0.024149011321574425,0.0004436772994838917
2,unemployment,0.007062918193757073,0.0037728523030366714,0.0032298518185738478,0.9856724853370831,0.00026189234754922736
2,exports_growth,0.011013656807762272,0.12191523876009734,0.7046783253890374,0.03666320637944946,0.12572957266365356
3,gdp_growth,0.10504769408987268,0.2558442393049659,0.5233652513364286,0.11557548004391212,0.00016733522482061146
3,inflation,0.020015516791081787,0.7034802672031406,0.04955083615932065,0.22531548352505518,0.0016378963214019385
3,current_account,0.0008435411842851863,0.06557590953859206,0.8710847746718431,0.06201144269034098,0.000484331914938707
3,unemployment,0.00665296214698949,0.006321712737289112,0.007272865906003163,0.979458823369241,0.0002936358404772229
3,exports_growth,0.03956154899475616,0.08382741608028262,0.6869102703066541,0.09937771318525962,0.09032305143304753
4,gdp_growth,0.10469507796923827,0.25314356065873667,0.5211153443309581,0.11978645070655561,0.0012595663345114896
4,inflation,0.014566319819278077,0.5113953214867077,0.2651437723366031,0.20576482475306787,0.0031297616043431888
4,current_account,0.0012349834261392244,0.06426545935022653,0.8609854841785136,0.07288640993916243,0.0006276631059581457
4,unemployment,0.0064410451429246,0.01868813838150123,0.04110054035500208,0.9334886548285389,0.0002816212920331847
4,exports_growth,0.07738221552807135,0.07546345960657364,0.6437295650785304,0.12286070560332425,0.08056405418350045
5,gdp_growth,0.09851543115601073,0.24313770781120486,0.495071369125724,0.16202361010813054,0.0012518817989297664
5,inflation,0.01118764825009848,0.4020375574831995,0.39139284351803516,0.1918375671358538,0.0035443836128131105
5,current_account,0.0015104103939620505,0.06498959174227505,0.8528302145153412,0.07994529126238847,0.000724492086033128
5,unemployment,0.006716543204554906,0.019490679707430215,0.05214147163694487,0.9213049347114781,0.0003463707395919474
5,exports_growth,0.06046154881295165,0.1254936002971086,0.6548455973962497,0.09997273199493362,0.059226521498756374
6,gdp_growth,0.094796357511723,0.2324694743321481,0.49762578240791183,0.17378655161431267,0.0013218341339044125
6,inflation,0.010304037977221561,0.35851331477703596,0.4448949768710116,0.18299174509942245,0.0032959252753085254
