period,world_growth,oil_price_shock,gdp_growth,inflation,nominal_rate_change,real_rate_change,reer_level,exports_growth,imports_growth,trade_balance,current_account,current_account_gdp,fdi,portfolio_flows,remittances,financial_account,reserves_change,reserves_months,external_debt_gdp,vulnerability_score,terms_of_trade
0,-0.016607069417654163,-0.01841139791453066,0.05309223994719227,0.037536821507405414,0.07643384596798147,0.058897024460576056,105.8897024460576,-0.09718996253736067,0.1405555248321968,-0.23774548736955747,-0.04002385517901348,-0.04002385517901348,0.00774894285814147,-0.0008797492249529059,0.05301164309090882,0.007369193633188564,-0.055872378169487355,2.829531461966152,0.22001192758950674,0.18907250278409443,-0.039388006815541735
1,0.04954895330317666,0.15663064563837892,0.046628786367546464,0.07622628676505565,-0.022835350552365075,-0.07906163731742072,97.5178891956178,0.17045535441158877,-0.017391000251657407,0.18784635466324617,0.05182044058364832,0.05182044058364832,0.008088386760944736,0.009511041574347952,0.05822852880930507,0.01809942833529269,-0.09160273822554618,1.7302986032595977,0.22001192758950674,0.2278844651871062,0.3306376258637848
2,0.05486931682134581,-0.13221219268762235,0.05103974000603545,0.05207332100438959,-0.12257846236633244,-0.15465178337072202,82.43657372096703,0.27988631324055135,-0.15142678679305843,0.4313131000336098,0.1049835670645114,0.1049835670645114,0.008082440544329448,0.011812541588248657,0.05364989877276561,0.020394982132578107,-0.04181369500526248,1.228534263196448,0.22001192758950674,0.2630079689915267,-0.03729475307163655
3,0.02020922726096932,0.09741958291314769,0.03418646408093773,0.056979259670076665,-0.05919002383404648,-0.09616928350412314,74.5087074916868,0.15201571343911668,-0.06407329268677997,0.21608900612589665,0.036019864473918965,0.036019864473918965,0.007742621794224951,0.0076060599121481175,0.05621878791765305,0.015848681706373068,-0.004578347373455943,1.1735940947149768,0.22001192758950674,0.2668537807852296,-0.09191509476158728
4,0.04795275537517903,0.08750785718418287,0.057085422569067984,0.056393533203689936,-0.034806003832639924,-0.07119953703632986,69.20372201310339,0.16280565746790288,-0.004298463142440756,0.16710412061034363,0.049198674744826816,0.049198674744826816,0.008245055469442208,0.0012727357480265854,0.05703181663274532,0.010017791217468795,-0.054380632983172215,0.5210264989169102,0.22001192758950674,0.3125335124910943,0.08200071783178423
5,0.06331538317262655,-0.11204388175906173,0.06209244617650934,0.06271522393097909,-0.06430790558123692,-0.107023129512216,61.797323109367625,0.23561394382393952,-0.07347227905512022,0.30908622287905974,0.10041037110619672,0.10041037110619672,0.007829569938829462,0.0001885307536632668,0.054279977438651934,0.008518100692492729,-0.09960939086578563,0.5,0.22001192758950674,0.31400536741527807,-0.07743641436833291
6,0.04209291472491506,0.20807398524824836,0.08302815041238612,0.06825661532705554,-0.014226047546254193,-0.06248266287330973,57.93606180305201,0.14265523442503936,0.058236875903683316,0.08441835852135604,-0.01028665280345311,-0.01028665280345311,0.00792818348539765,0.001608570613362144,0.058814891354913114,0.010036754098759794,0.021788888987829255,0.761466667853951,0.2251552539912333,0.2980171975462784,-0.02856181003475307
7,0.05510084090707172,0.2646249975572877,0.053148864445226,0.030839637731919667,-0.0827534971633618,-0.09359313489528147,52.5136441554176,0.2037022984782706,-0.011341206545775306,0.2150435050240459,0.0452910346459636,0.0452910346459636,0.00793358278690235,-0.004250078893582845,0.06020586205962417,0.004183503893319505,0.03507607637433311,1.1823795843459484,0.2251552539912333,0.26855329339183853,0.07343276962516655
8,0.012657717724227868,0.07877635921897617,0.03930812798623187,0.057979908385785525,0.010470468059117357,-0.027509440326668164,51.06902319518826,0.05500209741513262,0.027252861928652283,0.02774923548648034,0.01580390219486235,0.01580390219486235,0.008135847402352613,-0.0012896959877188227,0.055645361591005936,0.0073461514146337895,-0.05737579858576908,0.5,0.2251552539912333,0.31631986429605496,-0.0866156507923726
9,0.041607345765201934,0.0358682603186343,0.07820343774934718,0.036610989671449524,-0.016382415745011904,-0.032993405416461424,49.384082208686735,0.11305337375524327,0.06380506464971791,0.049248309105525356,0.024139916863472277,0.024139916863472277,0.007972763780302726,0.005801754069006556,0.05595640486619258,0.014274517849309283,-0.04457235886548895,0.5,0.2251552539912333,0.31631986429605496,-0.03991159894765606
