year,gdp,gdp_per_capita,population,emissions,temperature,co2_concentration,sea_level_rise,total_damages,damage_share,extreme_weather,renewable_share,carbon_price
2025.0,4068730756.6571383,23.696742904234934,171700000.0,230.0,1.1328541886030665,527.68,0.22657083772061332,8195666252.185192,0.017816665765619983,1.3809802365615071,0.03,10.0
2026.0,4121898809.5973563,23.76871246531399,173417000.0,1.9936780707619979,1.165083109886691,527.8739886932581,0.2330166219773382,74439064.57512413,0.01829540193912539,1.395291759450899,0.053125,10.5
2027.0,4175787019.63882,23.841045535915175,175151170.0,1.9427180959138304,1.1966952359019514,528.0434442322578,0.23933904718039029,77429206.46117595,0.018784839230136158,1.4095552250750063,0.07625,11.025
2028.0,4230418526.0921836,23.913817955944438,176902681.7,1.892399647567074,1.227698934613584,528.1887417339176,0.24553978692271683,80521813.55846862,0.019283026931156386,1.423764866459372,0.09937499999999999,11.576250000000002
2029.0,4285816084.464659,23.987099692713123,178671708.517,1.8427210829544014,1.2581024710496473,528.3102544177044,0.2516204942099295,83713067.42295146,0.01978836536069181,1.4379150069253461,0.1225,12.155062500000003
2030.0,4342002499.706573,24.060957448884896,180458425.60217,1.793679728273496,1.2879140083795126,528.4083531267398,0.25758280167590253,86999921.53419028,0.02029949951645147,1.452000064565197,0.145625,12.762815625000004
2031.0,4399000907.215938,24.135456287255135,182263009.8581917,1.7452721612960949,1.3171416089427108,528.4834059831687,0.2634283217885422,90379889.96432047,0.020815255166349682,1.4660145564555473,0.16874999999999998,13.400956406250003
2032.0,4456834975.669937,24.21066073766795,184085639.9567736,1.6974943862025254,1.3457932352422963,528.5357781267344,0.26915864704845927,93850914.07075123,0.021334597571189884,1.4799531026133086,0.191875,14.071004226562504
2033.0,4515529067.13617,24.286635609385325,185926496.35634133,1.6503419494451532,1.3738767509115246,528.5658315085934,0.2747753501823049,97411274.15411052,0.02185660332632531,1.4938104296972616,0.215,14.77455443789063
2034.0,4575108373.170367,24.36344662669277,187785761.31990474,1.6038100204418893,1.401399921659724,528.5739247236753,0.2802799843319448,101059528.74282725,0.022380440307279655,1.507581374458027,0.238125,15.513282159785163
2035.0,4635599037.5750475,24.441160954595453,189663618.9331038,1.5578934498371189,1.4283704162013857,528.5604128709277,0.28567408324027715,104794471.74937065,0.02290535287948868,1.5212608869391104,0.26125,16.28894626777442
2036.0,4697028272.332676,24.51984765488328,191560255.12243482,1.5125868126484578,1.4547958071712574,528.5256474342598,0.2909591614342515,108615101.69568253,0.023430650670015832,1.5348440334318072,0.28437500000000004,17.103393581163143
2037.0,4759424470.937297,24.599578098085722,193475857.67365918,1.4678844407468292,1.4806835720273501,528.469976179108,0.29613671440547,112520599.39713617,0.023955699832578458,1.5483259991869467,0.3075,17.9585632602213
2038.0,4822812543.433148,24.680401894098118,195410616.25039577,1.4237804474977072,1.506041093943142,528.3937430608946,0.30422876576019936,116514912.11422323,0.02448088268354795,1.5617020908866845,0.33062499999999995,18.856491423232367
2039.0,4887213159.94612,24.762344051140786,197364722.41289973,1.380267378816787,1.530875662584472,528.2972874997558,0.3216129638091304,120607445.94976074,0.025007699317275475,1.5749677388232095,0.35375,19.799315994393986
2040.0,4952674009.826976,24.845562943276807,199338369.63702872,1.3373362883709283,1.5551944747785722,528.180943692791,0.33863613234500056,124783059.93568948,0.025532559324067863,1.5881184987870411,0.37687499999999996,20.789281794113688
2041.0,5019229376.568745,24.93014287844133,201331753.33339903,1.2949852149931038,1.5790046357298309,528.0450439127593,0.3553032450108816,129041913.51774387,0.02605499842341774,1.6011500540248507,0.4,21.82874588381937
2042.0,5086915331.878475,25.016172313379087,203345070.866733,1.25320752348124,1.6023131598712017,527.8899163170572,0.3716192119098412,133383935.64303091,0.026574584589759295,1.614058216788937,0.4,22.92018317801034
