k,a,eps_m,eps_g,eps_f,shock_technology,shock_monetary,shock_fiscal,shock_foreign,y,c,i,pi,r
0.0,0.0013994995949150708,0.00022887503395045816,-0.004721439318304377,-0.014795195081652897,0.0013994995949150708,0.00022887503395045816,-0.004721439318304377,-0.014795195081652897,3.0164473081896603,1.7042234500903308,0.7087104765262109,0.00045031741975486345,0.01133628606860852
0.0,0.005666368662365627,-0.0007665403992887364,-0.005809536208145005,-0.015503822895380524,0.004406819026942063,-0.0008809779162639655,-0.0020323847535015033,-0.0029279070759755605,3.0198608034436205,1.706271547242707,0.7087104765262109,0.0009766582793233184,0.013832544984941289
0.0,0.0003813909508105428,-0.0024496974516528824,-0.014909816502734322,-0.013906181811680258,-0.004718340845318522,-0.0020664272520085143,-0.010262187536218317,-0.0007279323506068134,3.0156328212743766,1.7037347579411606,0.7087104765262109,-0.0011333148976319291,0.008553594134886459
0.0,0.008455391558904558,0.0016693683303051748,-0.014618164206432655,-0.012254720114362969,0.00811213970317507,0.002894217056131616,-0.0026903110042451974,-0.00043446557443474975,3.022092021760852,1.7076102782330458,0.7087104765262109,0.0028639781392897235,0.017779133933506646
0.0,0.025743655331817803,-0.0014548380127133212,-0.02032001033944193,-0.03282414222375015,0.0181338029288037,-0.0022895221778659086,-0.008625478974295804,-0.02240763012654163,3.0359226327791826,1.7159086448440442,0.7087104765262109,0.0054510582732796575,0.02857505964365685
0.0,0.005240545267218573,-0.0024374017158021255,-0.017276101915603023,-0.03432911981196353,-0.01792874453141745,-0.0017099827094454651,-0.0010200936440494812,-0.006428598921775904,3.0195201447275033,1.7060671520130366,0.7087104765262109,3.903000623145959e-05,0.012255773217244893
0.0,0.008460720973981588,0.0012330542439563151,-0.025372268723634323,-0.027853808229015748,0.003744230233484872,0.002451755101857378,-0.011551387191151903,0.0013259436111532521,3.0220962852929136,1.707612836352283,0.7087104765262109,0.0026471001557337804,0.017455948724203543
0.0,0.010959518757051262,-0.0012385560209608485,-0.027968661880324767,-0.025818464805219047,0.003344869880467833,-0.0018550831429390061,-0.007670846901417307,-0.0021427278105556604,3.024095323519369,1.708812259288156,0.7087104765262109,0.002011006491211824,0.017501327340648316
0.0,0.0097430096992765,0.0005428768600075633,-0.04140619791150672,-0.009410551533754292,-0.00012055718206963508,0.0011621548704879876,-0.019031268407246907,0.012535143550681896,3.0231221162731496,1.7082283349404244,0.7087104765262109,0.0026097607578302066,0.017912855117466184
0.0,-0.00763228318820783,0.0034993124304357635,-0.02938608704596276,0.0014117669320419697,-0.01640099191755668,0.0032278740004319816,0.0037388712832426224,0.009410735735733118,3.0092218819631618,1.6998881943544317,0.7087104765262109,-8.20917499520569e-05,0.006924959200798849
