period,output,consumption,interest_rate,inflation,wage,wealth_gini,income_gini
0,1.2281131800133607,1.2281131800133607,-0.004619985650985485,0.0,0.9997596833965908,-14.521036550599845,0.31758681563808966
1,1.226730537001649,1.1542328191909195,0.0441502374317229,0.00095762896775019,0.9997596833965907,-14.521036550599845,0.31758681563808966
2,1.224527267555587,1.094820072810518,0.050155028776593065,-0.0006738901483318634,0.9997596833965907,-14.521036550599845,0.31758681563808966
3,1.2325602060928935,1.0484144871014194,0.04708983245557496,-0.0003243649737232397,0.9997596833965907,-14.521036550599845,0.31758681563808966
4,1.2274813265568156,1.0105789753990897,0.04570016086700468,-0.0013128623567649714,0.9997596833965907,-14.521036550599845,0.31758681563808966
5,1.2084117094558922,0.9776408196430967,0.0406498726779737,-0.009181458594017432,0.9997596833965907,-14.521036550599845,0.31758681563808966
6,1.2002535453082948,0.9501481520576387,0.01699697558964713,-0.012603998800179478,0.9997596833965907,-14.521036550599845,0.31758681563808966
7,1.1889164717654486,0.9265668276932738,0.006747463398881685,-0.015466362201700544,0.9997596833965907,-14.521036550599845,0.31758681563808966
8,1.193511424637119,0.9083450616038158,0.0011199282618421153,-0.022128368454357623,0.9997596833965907,-14.521036550599845,0.31758681563808966
9,1.1980808260718419,0.8944073649331105,-0.008537425877649558,-0.025128063207413804,0.9997596833965907,-14.521036550599845,0.31758681563808966
10,1.195077674566806,0.8828367663858412,-0.006525951397442208,-0.02624285120055195,0.9997596833965907,0.1,0.31457828257694265
11,1.1982462528640823,0.8740238885096445,-0.0020701235636107207,-0.027781225845789948,0.9997596833965907,0.1,0.31457828257694265
12,1.1890245090793001,0.8656825420788177,-0.008202427408294487,-0.028577600433239744,0.9997596833965907,0.1,0.31457828257694265
13,1.179651515683722,0.8576972458587753,-0.027170965067297805,-0.03144867557183479,0.9997596833965907,0.1,0.31457828257694265
14,1.1862113649285857,0.8522273877770222,-0.021943975013098145,-0.03248102586058599,0.9997596833965907,0.1,0.31457828257694265
15,1.1756163265333892,0.8463681959362923,-0.025917635742747844,-0.03700018880595929,0.9997596833965907,0.1,0.31457828257694265
16,1.1914372341435757,0.8438957695291345,-0.03798003455507437,-0.03417199148922135,0.9997596833965907,0.1,0.31457828257694265
17,1.1983456684245022,0.8428850092027379,-0.03356584807385398,-0.031962081800001735,0.9997596833965907,0.1,0.31457828257694265
18,1.207439182471797,0.8433494929082419,-0.02192956384557907,-0.025361643624143712,0.9997596833965907,0.1,0.31457828257694265
19,1.201114406993727,0.8428356113057153,-0.00020802458366737334,-0.024966758890331002,0.9997596833965907,0.1,0.31457828257694265
20,1.2135697355669142,0.8441682520239402,-0.005241751148491677,-0.02198771100761525,0.9997596833965907,0.1,0.31364998769362357
21,1.2030620137707524,0.8437632835470574,-0.002802965017085407,-0.019885773809620522,0.9997596833965907,0.1,0.31364998769362357
22,1.20484702917921,0.8436892109227354,0.00831470275532645,-0.01759636512516326,0.9997596833965907,0.1,0.31364998769362357
23,1.2007224467165738,0.8430525112785088,0.007517109370351066,-0.018285594921733907,0.9997596833965907,0.1,0.31364998769362357
24,1.2031032596551532,0.8428764653745284,0.01065066859595953,-0.0157799814551532,0.9997596833965907,0.1,0.31364998769362357
25,1.2138232767347261,0.8442364310424845,-0.005389392625930823,-0.014362589874360657,0.9997596833965907,0.1,0.31364998769362357
26,1.2161698748279446,0.8456529273098998,0.012775804787561247,-0.016946427415175984,0.9997596833965907,0.1,0.31364998769362357
27,1.2209353310616038,0.8474532881965444,0.010262407038886758,-0.010660095659315517,0.9997596833965907,0.1,0.31364998769362357
28,1.2135681799278477,0.8478621757471343,0.020154291186249028,-0.012018592364476331,0.9997596833965907,0.1,0.31364998769362357
29,1.218310191032996,0.848853167342327,0.02225875747057572,-0.011867181372120339,0.9997596833965907,0.1,0.31364998769362357
30,1.220261265424513,0.8499191110332934,0.022425140620300776,-0.008287780377200942,0.9997596833965907,0.1,0.3101397222242368
31,1.2171253753520763,0.8503328413759255,0.024389683464194185,-0.011412545879636013,0.9997596833965907,0.1,0.3101397222242368
32,1.220834708540004,0.851183132296341,0.021534867780807786,-0.009756519544462751,0.9997596833965907,0.1,0.3101397222242368
33,1.2074088482668357,0.8499837445944298,0.02288686193860665,-0.012728449689233456,0.9997596833965907,0.1,0.3101397222242368
34,1.2014565087492721,0.848190906900442,0.012359231602623727,-0.01574410216218438,0.9997596833965907,0.1,0.3101397222242368
35,1.2229840348877863,0.8497704904046437,0.009098560939742019,-0.0119246488933198,0.9997596833965907,0.1,0.3101397222242368
36,1.222752490242682,0.8510017409576905,0.022974850755224523,-0.013494290729738564,0.9997596833965907,0.1,0.3101397222242368
37,1.2238908613191604,0.8521461133508349,0.019105393902078632,-0.00555093530586366,0.9997596833965907,0.1,0.3101397222242368
38,1.2273285666119167,0.8535428900063363,0.030656470340542454,-0.004146741387063239,0.9997596833965907,0.1,0.3101397222242368
39,1.2388352560972113,0.8562712478586787,0.029283623757587626,0.0012203053914847759,0.9997596833965907,0.1,0.3101397222242368
40,1.228669173940879,0.857030682638666,0.05179860297793038,0.003795619013606091,0.9997596833965907,0.1,0.3031304669102754
41,1.250518130806227,0.8606970844238047,0.050520690461712,0.006148878413039268,0.9997596833965907,0.1,0.3031304669102754
42,1.249274149377817,0.8634560484519382,0.05709798486986223,0.008466405084016025,0.9997596833965907,0.1,0.3031304669102754
43,1.2478436821894316,0.865462954268071,0.05515481240919816,0.00862158717196269,0.9997596833965907,0.1,0.3031304669102754
