period,simulation,unemployment_formal,unemployment_informal,employment_formal,employment_informal,total_unemployment,market_tightness_formal,market_tightness_informal,job_finding_rate_formal,job_finding_rate_informal,job_destruction_rate_formal,job_destruction_rate_informal,wage_formal,wage_informal,productivity_shock,demand_shock
0,0,0.04220027185820303,0.02009080439724859,0.9577997281417969,0.9799091956027514,0.023407224516391753,7.948893156509508,11.92333973476426,1.6916268904056304,2.762415144443197,0.04984029111409222,0.07466461133959365,0.8487223289127377,0.285,0.0,-0.0063883554363115
1,0,0.03565896769129859,0.02678431132150579,0.9643410323087014,0.9732156886784942,0.028115509776974707,6.463171250206294,9.69475687530944,1.525366070841444,2.4909123630103975,0.049960000890237784,0.07491600186949936,0.7161748228521564,0.2449301274707396,-0.21172019303497597,-0.0015999643904886596
2,0,0.03368277102766114,0.029010471078464536,0.9663172289723388,0.9709895289215354,0.029711316070844027,6.110068352388809,9.165102528583212,1.4831131470187873,2.4219136273395994,0.04975331575453628,0.07448196308452619,0.688436677049094,0.23698768666053693,-0.2595872066421497,-0.009867369818548986
3,0,0.03598879794479829,0.03299551633613652,0.9640112020552017,0.9670044836638635,0.033444508577435784,4.554750046985315,6.832125070477971,1.280511623108011,2.091066724211808,0.05007682729469605,0.07516133731886171,0.547668486475271,0.19419588882626798,-0.56633926639352,0.003073091787841916
4,0,0.03334327788779939,0.030282591852170148,0.9666567221122007,0.9697174081478298,0.03074169475751453,6.529470478469325,9.794205717703987,1.5331697141050487,2.503655659097423,0.05028508347850905,0.07559867530486902,0.7167275248567704,0.24446612041591564,-0.21445450342766353,0.011403339140362177
5,0,0.03307328381862894,0.030157217552771596,0.966926716181371,0.9698427824472284,0.030594627492650198,5.806956056853721,8.710434085280582,1.4458575934259015,2.3610755630812776,0.049189400323649865,0.07329774067966473,0.670270791688728,0.2325406939123017,-0.28742373177824654,-0.032423987054005454
6,0,0.03528861747609996,0.03283265621394515,0.9647113825239,0.9671673437860548,0.03320105040326837,4.756073724115564,7.134110586173345,1.3085054606999555,2.1367804695735457,0.050045863368639046,0.075096313074142,0.5656121255376199,0.19961831862258694,-0.5218519157275023,0.0018345347455618125
7,0,0.035920751853130206,0.03321148232036834,0.9640792481468698,0.9667885176796317,0.03361787275028262,4.780606315098017,7.170909472647025,1.311875860527697,2.142284309444966,0.04950257920686883,0.07395541633442454,0.5743686716351639,0.2030384757782397,-0.4947767199490832,-0.019896831725246904
8,0,0.03801638772551187,0.035545884783792336,0.9619836122744881,0.9644541152162076,0.03591646022505027,4.1558741877277985,6.233811281591697,1.2231576789531295,1.9974081256014473,0.050406304811881866,0.07585324010495194,0.509485121716104,0.18234707214962184,-0.6710402806386571,0.01625219247527475
9,0,0.03905302073789929,0.036243924339530574,0.9609469792621007,0.9637560756604694,0.03666528879928588,3.944078042303317,5.916117063454975,1.1915821814835912,1.945845554151507,0.04945148342423481,0.07384811519089311,0.5006366368137412,0.18085456801758643,-0.6850413784930275,-0.021940663030607488
10,0,0.03706040100621303,0.03379561183997364,0.962939598993787,0.9662043881600264,0.03428533021490955,4.994355847752711,7.491533771629067,1.3408833301935617,2.1896533090520527,0.049639631756231276,0.0742432266880857,0.5915714627337008,0.20801927794675085,-0.45661346603146036,-0.014414729750749002
11,0,0.03663039557325134,0.03364420883167026,0.9633696044267487,0.9663557911683297,0.03409213684290742,4.965717526989027,7.4485762904835395,1.3370333988782963,2.183366397540611,0.05041443608023463,0.07587031576849274,0.5794392513183666,0.20322445152032914,-0.49332527492970835,0.01657744320938507
12,0,0.036454870540596304,0.03361324640417582,0.9635451294594037,0.9663867535958242,0.034039490024638894,4.981097027343457,7.471645541015185,1.339102285056539,2.1867448745223386,0.050490772374577546,0.07603062198661284,0.5798521914794734,0.20323640163427248,-0.49323208243030736,0.01963089498310159
13,0,0.03782133275199097,0.035124324319989665,0.962178667248009,0.9648756756800103,0.03552887558478986,4.262186965074779,6.3932804476121685,1.2387038820585494,2.0227949689654134,0.05004009925613502,0.07508420843788355,0.5225147673680204,0.18670323916128337,-0.6312618263046372,0.001603970245400762
14,0,0.0368526590936596,0.03379595298402737,0.9631473409063404,0.9662040470159726,0.034254458900472205,4.861219414248155,7.291829121372232,1.3228903919559383,2.1602709639483257,0.04966162377239862,0.0742894099220371,0.5795254253837875,0.20435787481158513,-0.4845247440654377,-0.0135350491040553
15,0,0.03658596979446475,0.033617858621857816,0.9634140302055353,0.9663821413781422,0.03406307529774885,4.872026190760927,7.3080392861413905,1.3243600072011892,2.1626708355943793,0.05003004615671859,0.07506309692910906,0.5759367668400983,0.2027371670698515,-0.49713276014440066,0.0012018462687437134
16,0,0.03840696214554386,0.03573744508243254,0.9615930378544562,0.9642625549175674,0.03613787264189924,4.06599762893075,6.098996443396124,1.2098591432125765,1.9756917076744338,0.05012175985809846,0.07525569570200678,0.5045431031087952,0.18121512820192112,-0.6816409819424323,0.004870394323938467
17,0,0.035812584430995276,0.03258865540428533,0.9641874155690047,0.9674113445957147,0.03307224475829182,5.502404133440306,8.253606200160458,1.407432232130027,2.2983272108432895,0.04971896222978733,0.07440982068255339,0.635370273462816,0.22108027145325948,-0.36295125562185565,-0.011241510808507127
18,0,0.0315414263137721,0.02835384045377025,0.9684585736862279,0.9716461595462298,0.028831978332770528,7.80459591996869,11.706893879953034,1.6762024135493683,2.7372270792117237,0.05040374517648232,0.07584786487061287,0.8251496739833657,0.2766146059133423,-0.040749547177651446,0.016149807059292573
19,0,0.027493421396920664,0.024555034061247344,0.9725065786030793,0.9754449659387526,0.02499579216159834,10.031413137490933,15.047119706236398,1.900344371290829,3.103249363488422,0.04976874075145481,0.0745143555780551,1.0336024419358254,0.3407831876693918,0.23557336175303906,-0.009250369941807855
20,0,0.025599414009723265,0.023061345651214604,0.9744005859902767,0.9769386543487854,0.0234420559049909,10.594395909830286,15.891593864745428,1.9529420184785065,3.189140961675585,0.04945998817808533,0.07386597517397919,1.0916281565277046,0.3592426686884179,0.3027208098071875,-0.021600472876587153
21,0,0.027075360104313672,0.025058628337157107,0.9729246398956863,0.9749413716628429,0.02536113810223059,8.535829827328842,12.803744740993261,1.7529685501566716,2.8625856553535107,0.05022390333630944,0.07547019700624984,0.8921495205203835,0.2970765854316082,0.05591477108475068,0.00895613345237773
22,0,0.0266542444292817,0.024528468611818358,0.9733457555707183,0.9754715313881817,0.02484733498443786,9.46807186281765,14.202107794226473,1.8462139287239587,3.014854720928513,0.05014604384482627,0.07530669207413516,0.975019480932404,0.3220934274320243,0.16265898310514718,0.005841753793050755
23,0,0.028472762395966838,0.0264396339928165,0.9715272376040331,0.9735603660071835,0.026744603253289048,7.407023509259577,11.110535263889364,1.6329508453512764,2.666597564104714,0.04963615356018782,0.07423592247639443,0.8049516103944143,0.2723059295184284,-0.06235206482863867,-0.014553857592487179
24,0,0.029098144405275948,0.026970538150541085,0.9709018555947241,0.9730294618494589,0.027289679088751313,7.592420777406183,11.388631166109274,1.653260862618548,2.6997636834193353,0.05016041078740868,0.07533686265355825,0.8113114645085147,0.2730303969308112,-0.058686991953318085,0.006416431496347418
25,0,0.029078184051480913,0.026920838346054222,0.9709218159485191,0.9730791616539458,0.027244440201868225,7.9628247894805,11.94423718422075,1.6931086569423062,2.7648348590650547,0.050687476296750855,0.0764437002231768,0.8334278056991472,0.27843001810409657,-0.031785476359380296,0.027499051870034097
26,0,0.028008052324951283,0.02560239380038439,0.9719919476750487,0.9743976061996156,0.025963242579069422,8.582464033841543,12.873696050762312,1.7577505659742951,2.870394654483575,0.049603415340339616,0.0741671722147132,0.9096119472054846,0.30392114547096727,0.08627007061559357,-0.015863386386415476
27,0,0.026658476494475402,0.024387018073749173,0.9733415235055246,0.9756129819262508,0.024727736836858104,9.958197172656167,14.937295758984249,1.8933966785003662,3.091903828670924,0.050541051431083776,0.07613620800527593,1.0081578481648794,0.33086522591635964,0.19754331386848484,0.021642057243350915
28,0,0.025414005676410466,0.023207886985486967,0.9745859943235895,0.9767921130145131,0.02353880478912549,10.769991976262762,16.15498796439414,1.9690599562874143,3.215461443900743,0.050133718648384555,0.07528080916160758,1.0887930810169157,0.35620817827634566,0.29198771228241804,0.005348745935382153
29,0,0.025179072059023002,0.023135167845526845,0.974820927940977,0.9768648321544732,0.02344175347755127,10.600969505645741,15.90145425846861,1.9535478038769531,3.1901302050888005,0.050230136275611736,0.07548328617878466,1.071541296115488,0.35073716455922466,0.27234057895009534,0.009205451024469553
30,0,0.027894643250991273,0.026137252913203686,0.9721053567490088,0.9738627470867963,0.026400861463871824,7.654910025614455,11.482365038421682,1.6600504839375227,2.7108510886048087,0.05028829994816141,0.07560542989113897,0.814350251680015,0.27365055043665454,-0.05556027757394141,0.011531997926456242
