capital,tfp,consumption,labor,output,investment,wage,interest_rate,simulation,period
2.2105366718884256,1.0,0.4131598303410514,0.33,0.642108271358067,0.13263220031330553,1.2647587163113443,0.041666666666666755,0,0
2.2105366718884256,0.9973075596391436,0.4129371087052848,0.3299110416330234,0.6402672198969682,0.13263220031330558,1.261472458978685,0.041375168217634414,0,1
2.2104328041402215,1.0014468483743661,0.41236665726956384,0.3295080284933808,0.6424034513937749,0.13252833256510144,1.2672293458680983,0.04171818277700429,0,2
2.210494102425215,1.00049991185363,0.4127224033860833,0.3297506929654528,0.6421094283388937,0.13268726653340712,1.2657172140166146,0.04166880774395375,0,3
2.210515651671081,0.9976816651897825,0.41263081852078953,0.32975049420269087,0.64030264362266,0.13265119539137915,1.2621564657880433,0.041381740997180394,0,4
2.2104273662573135,1.0177263088210389,0.4134691296507431,0.3299375172994075,0.6533987433194567,0.1325426536864973,1.2872412529316488,0.04345943216809972,0,5
2.2111102799105,1.006900150229815,0.4185051379943992,0.33310098049033554,0.6505405748819354,0.1333085556286253,1.2694389942977862,0.04297505433238438,0,6
2.211344365208645,1.003460038412298,0.42087971339065894,0.33446378285087425,0.6500649161513851,0.13290070209277527,1.2633421529134508,0.04288886897609795,0,7
2.2114339460939054,0.988265946269285,0.42123954187767837,0.3347790876624337,0.6406231517933164,0.13277024279777905,1.2438203699435597,0.04139036868982729,0,8
2.2109307006562,0.9942134216289351,0.41822189814585137,0.3327325819822845,0.6418637984652357,0.1321827913279292,1.2538942429888533,0.04160984665695587,0,9
2.210685850208706,0.999526544916119,0.41699547427686107,0.3318156167116486,0.6441125004445679,0.13241099159187808,1.2617643781751258,0.04197711951443284,0,10
2.2106595632660286,0.9951364013724262,0.41667526767735114,0.33161767567295847,0.6410320628587353,0.13261486406984524,1.2564795890708158,0.04149062557107891,0,11
2.210465102786073,0.9957199107526125,0.4152690921261979,0.33069819703698333,0.6402316815706911,0.1324451133160065,1.2583999451754175,0.04137282342404311,0,12
2.2103037208006024,0.9933178544794962,0.4137275952875876,0.3297722234667969,0.637507903171059,0.13246652418169402,1.25656470610209,0.04094891666248052,0,13
2.210058013451069,0.9897691093970413,0.4111989819929848,0.3283048480590658,0.633366988136586,0.13237251589850274,1.253982524847496,0.040304356038893235,0,14
2.209687736624958,0.9978760837415701,0.40831252464414713,0.3264800337311587,0.6362081645322265,0.13223320398095373,1.266648077127052,0.0407711876640028,0,15
2.209651603129921,0.9955776525509216,0.40710345242503176,0.32587769723780174,0.6339777059709273,0.13254513070246077,1.2645403854698065,0.0404195397932956,0,16
2.2095286151741385,1.0064633919023023,0.40614638464743835,0.3252378042608195,0.6400789084991391,0.1324561082320126,1.2792218034739726,0.04139158933546669,0,17
2.2098310551118523,1.0107587175840318,0.408176538739005,0.3265074272422886,0.6444714208003611,0.13287415684816217,1.2829920196865243,0.042073412697473944,0,18
2.2102812778762013,1.0145622991930576,0.4117237565859163,0.32865020629648733,0.6496993044082298,0.13304008607106033,1.2849666294880493,0.04288046088024498,0,19
2.210852040768417,1.0144518460246184,0.416467902392821,0.3314951297229231,0.653337329889539,0.13318763956478818,1.281072409067234,0.043429836662367216,0,20
2.211387979083768,1.0101514375122167,0.42117652671728495,0.33428779997527563,0.65418044720323,0.13318706076145626,1.27200959985243,0.043538211605905305,0,21
2.2117313888537202,1.012805060142198,0.42534957334342127,0.3365507685898137,0.6588174251503134,0.13302668851497845,1.2724122667793691,0.044255923646368336,0,22
2.2121574844097673,1.0109688387488107,0.43034132805698316,0.3392782773460857,0.6611268865091483,0.13312997888727063,1.266607693225793,0.044601237438545646,0,23
2.2124907139253978,1.0130176918425653,0.4353819379057087,0.34185872491489017,0.6657725336761963,0.1330626785802167,1.2658800707727043,0.0453203908699098,0,24
2.212884109720617,1.0129568467181564,0.44131071019266943,0.3448769248603828,0.6695887805791125,0.13314283863074294,1.261994282605655,0.045905262807584404,0,25
2.2132540489354056,1.0106652284050923,0.4474434966724229,0.34791214100448115,0.6719291738294568,0.13314298579802575,1.2553570614930667,0.046257666603357714,0,26
2.213516728542103,1.0025019599961396,0.45265100738972713,0.3503676353821508,0.6695835903273734,0.13305792254282167,1.2422075835802644,0.04587417460763185,0,27
2.213452397355369,1.0014793734346732,0.45585707110349016,0.35142443117130356,0.6702045039161522,0.13274667252579198,1.2396204956312429,0.04597543306145602,0,28
2.213352166501071,1.003176369411693,0.4591108341685685,0.3523806021365502,0.6725162321815102,0.13270691298702442,1.2405210396586708,0.04634578844975444,0,29
2.21332265099561,1.0121199271563248,0.463842411709732,0.35397005550567023,0.6804964612950153,0.13277161448460317,1.249604854879241,0.047609146522816545,0,30
2.2136371307831815,1.0183614955173432,0.4719853033034682,0.3574143799952293,0.6890504728432622,0.13311383884730832,1.253119159207021,0.04894634090720053,0,31
2.214171934703658,1.013939243405016,0.48210977457812465,0.36194241807970257,0.691753820091834,0.13335303176746738,1.2422970080303708,0.04934735159333781,0,32
2.2145100576172774,1.009708230467535,0.4913156474352576,0.3656888301047647,0.6935306803834129,0.13318843899583888,1.2327282244854785,0.04961148598050093,0,33
2.214668594708982,1.0096029700723956,0.4999220680403943,0.36878361715487634,0.6972848572221743,0.1330291405487416,1.2290002486853155,0.05019693899611659,0,34
2.2148145727912136,1.0275991603766652,0.5109091218428204,0.37261344129714363,0.714512543261612,0.1330260937647707,1.2464208255699551,0.05291211156625285,0,35
2.215634843048406,1.0320970902562558,0.5288485911833932,0.38010917062198923,0.7270852673943836,0.1337091446246652,1.2433412828030548,0.054856400812827694,0,36
